customer_id,customer_type,age,gender,income_bracket,location,account_id,transaction_type,transaction_amount,transaction_date
1,Personal,54,Male,Medium,London,1,Credit,784.32,2024-09-24 10:11:39.037889
1,Personal,54,Male,Medium,London,1,Credit,1514.73,2024-09-30 10:11:39.037889
1,Personal,54,Male,Medium,London,1,Credit,797.0,2024-09-16 10:11:39.037889
1,Personal,54,Male,Medium,London,1,Credit,4725.44,2024-09-15 10:11:39.037889
1,Personal,54,Male,Medium,London,1,Credit,1252.77,2024-09-29 10:11:39.037889
1,Personal,54,Male,Medium,London,1,Credit,3005.36,2024-10-17 10:11:39.037889
1,Personal,54,Male,Medium,London,1,Credit,1609.85,2024-09-07 10:11:39.037889
1,Personal,54,Male,Medium,London,1,Debit,4666.77,2024-10-19 10:11:39.037889
1,Personal,54,Male,Medium,London,1,Debit,4995.41,2024-10-19 10:11:39.037889
1,Personal,54,Male,Medium,London,1,Debit,1139.35,2024-10-24 10:11:39.037889
1,Personal,54,Male,Medium,London,1,Debit,1268.91,2024-09-27 10:11:39.037889
1,Personal,54,Male,Medium,London,32,Credit,4529.21,2024-10-19 10:11:39.037889
1,Personal,54,Male,Medium,London,32,Credit,349.94,2024-10-15 10:11:39.037889
1,Personal,54,Male,Medium,London,32,Credit,4587.87,2024-10-19 10:11:39.037889
1,Personal,54,Male,Medium,London,32,Credit,4391.2,2024-10-16 10:11:39.037889
1,Personal,54,Male,Medium,London,32,Credit,2727.97,2024-10-31 10:11:39.037889
1,Personal,54,Male,Medium,London,32,Credit,3553.52,2024-09-29 10:11:39.037889
1,Personal,54,Male,Medium,London,32,Debit,512.61,2024-09-12 10:11:39.037889
1,Personal,54,Male,Medium,London,32,Debit,2973.79,2024-10-21 10:11:39.037889
1,Personal,54,Male,Medium,London,32,Debit,4683.21,2024-10-23 10:11:39.037889
2,Personal,57,Male,Low,Leeds,133,Credit,1863.6,2024-09-23 10:11:39.037889
2,Personal,57,Male,Low,Leeds,133,Debit,3974.68,2024-10-31 10:11:39.037889
2,Personal,57,Male,Low,Leeds,133,Debit,1281.34,2024-11-01 10:11:39.037889
2,Personal,57,Male,Low,Leeds,133,Debit,1801.15,2024-10-19 10:11:39.037889
2,Personal,57,Male,Low,Leeds,133,Debit,2964.78,2024-09-19 10:11:39.037889
3,Business,25,Female,Medium,Manchester,71,Credit,3290.92,2024-10-12 10:11:39.037889
3,Business,25,Female,Medium,Manchester,71,Credit,2870.21,2024-10-11 10:11:39.037889
